id;name;national_id;gender;birth;phone;created_by;new_patient
47;Jackson Jones;R166382561;MALE;1931-11-17;0940900204;system;False
48;Joshua Owen;E918503560;MALE;2003-02-04;0947151409;system;False
49;Kelly Randall;G331823188;OTHER;2010-10-17;0994456413;system;False
50;Bobby Gregory;I521780020;FEMALE;1928-10-07;0970679264;system;True
51;Bobby Dunn;R374108457;MALE;1934-02-03;0912465537;system;True
52;Brandon Holland;H410324283;OTHER;1942-08-25;0949824946;system;False
53;Ian Sanders;Q673040410;OTHER;1978-08-11;0910110870;system;True
54;Jill Costa;S809108109;FEMALE;2011-04-18;0903055377;system;True
55;Adam Mcdowell;D947141993;OTHER;1991-12-02;0914104710;system;True
56;Tracy Johnson;B160719648;OTHER;1921-12-15;0999591144;system;True
57;Debra Lutz MD;T499896968;FEMALE;1979-01-27;0967100236;system;True
58;Sherri Fischer;K200610346;OTHER;1978-02-18;0999188526;system;True
59;Dr. Danielle Fitzgerald;I145697453;OTHER;2012-02-19;0974315910;system;True
60;Richard Alexander;J448457110;MALE;2010-03-18;0901018423;system;True
61;Jessica Barnett;A016923761;MALE;2002-07-13;0946900272;system;False
62;Deborah Ross;O921447610;FEMALE;1943-10-13;0990161506;system;False
63;James Harrison;R410658055;MALE;1981-11-07;0933233474;system;False
64;Rodney Preston;X105431016;MALE;1909-02-01;0901041734;system;False
65;Kathy Mitchell;U191605231;FEMALE;1942-09-01;0935726906;system;True
66;Justin Campbell;M489751573;MALE;1962-06-14;0907846400;system;True
67;Frank Morgan;R101557599;FEMALE;1926-09-04;0929109260;system;True
68;Mark Mahoney;H106210856;FEMALE;1944-06-24;0931972180;system;False
69;Monique Martin;V783107583;FEMALE;1920-06-04;0964691078;system;True
70;Christine Johnson;J717774710;FEMALE;1911-02-20;0932049407;system;False
71;Michael Haynes;D266045301;OTHER;1960-03-29;0910760100;system;True
72;Anna Dalton;C119681522;FEMALE;2007-02-02;0910198952;system;False
73;Eric Ward;F218125830;MALE;1933-09-14;0961071015;system;True
74;Carlos Cole;L591151617;FEMALE;1997-11-08;0916942609;system;False
75;Rebecca Clark;J186070102;MALE;1972-05-08;0951102340;system;False
76;Melissa Bryant;K955195260;MALE;1968-12-09;0983914210;system;True
77;Chris Keith;Q851706447;FEMALE;1918-07-21;0960391093;system;True
78;Andrew Baird;S355061710;MALE;1991-03-03;0904001010;system;False
79;Michael Brown;N197281321;OTHER;1961-07-05;0981205110;system;True
80;Anne Marshall;G556052198;MALE;2013-07-17;0957861346;system;False
81;Cheryl Scott;E709103538;MALE;1975-10-20;0910802766;system;False
82;Jennifer Keller;G101100290;OTHER;1969-05-12;0995870851;system;False
83;Paige Robinson;A837810314;MALE;2001-11-23;0998728425;system;True
84;Karen Kennedy;L310402280;FEMALE;1919-03-28;0981051090;system;True
85;Toni Larsen;E751358018;MALE;1924-03-26;0970108211;system;False
86;Carmen Kane;L036375393;OTHER;1939-01-16;0972397383;system;False
87;Nicole Smith;S627110792;FEMALE;1924-04-20;0997302466;system;True
88;Tim Kelly;O263761293;MALE;1944-11-12;0922791020;system;True
89;Kimberly Carlson;T131680723;OTHER;1906-05-16;0952871076;system;True
90;Richard Drake;I837110440;MALE;1979-01-17;0934107897;system;True
91;Steven Brandt;H992745940;OTHER;1957-02-13;0906846641;system;False
92;Ashley Reese;X811010101;MALE;1931-05-21;0928610968;system;False
93;Michael Booth;S035989934;MALE;2016-12-15;0978510317;system;False
94;Kelly Green;M674103108;FEMALE;1974-09-30;0902710305;system;False
95;Stephanie Bond;R335590105;MALE;1921-08-30;0928952586;system;False
96;Mary Lewis;H593762047;MALE;1943-01-21;0949128935;system;True
97;Becky Dixon;K191227987;MALE;2013-06-10;0962713254;system;True
98;Kevin Brooks Jr.;H674298298;OTHER;1973-06-04;0960211010;system;False
99;Jonathan Villegas;J942321109;OTHER;2000-05-27;0939060210;system;False
100;Joseph Andersen;A015594804;MALE;2006-05-02;0918712741;system;True
101;Diane Turner;H165292191;OTHER;2016-04-19;0961961078;system;True
102;Yvette Payne DVM;H941091289;OTHER;1980-06-15;0952849801;system;False
103;Lisa James;K001018008;OTHER;1983-10-05;0910710030;system;False
104;Lauren Frazier;S109269116;OTHER;1989-04-02;0966101087;system;False
105;Debra Deleon;S638897972;FEMALE;1950-03-02;0910106905;system;False
106;Amanda Ramos;O577185635;OTHER;1985-11-17;0931055396;system;True
107;Amanda Meadows;X479685843;MALE;1968-12-17;0908507989;system;False
108;Jennifer Anderson;Y798210865;FEMALE;2003-11-01;0990776062;system;False
109;David Rodriguez;F390673982;OTHER;1925-09-17;0935389113;system;False
110;Dr. Michael Sparks;I662644610;MALE;1963-02-26;0902601096;system;False
111;Daniel Hendrix MD;H048463949;FEMALE;1994-08-05;0941531031;system;False
112;Jessica Fleming;M303101091;FEMALE;1917-11-07;0931056611;system;True
113;Marissa Schneider;I555110333;FEMALE;1965-07-03;0962899630;system;False
114;Alicia Gonzales;B374792661;OTHER;1938-03-05;0953277011;system;False
115;Charles Ball;R230366232;OTHER;1970-08-01;0988053509;system;False
116;Scott Dougherty;M343472050;FEMALE;1936-06-26;0976500227;system;False
117;Roger Zimmerman;O690033264;FEMALE;1903-08-02;0994108344;system;True
118;Ashley Bell;L016922103;FEMALE;1962-03-04;0938095051;system;False
119;Christian Day;K806057057;FEMALE;1910-04-15;0925878510;system;True
120;Michael Wright;U210491575;OTHER;1965-02-17;0992709501;system;False
121;Barry Anderson;I096708044;MALE;1945-09-06;0931910364;system;False
122;Kevin Howard;H871039441;MALE;1915-04-10;0910691031;system;True
123;Shelia Kelley;T579511003;FEMALE;1980-06-19;0958640410;system;True
124;Steven Kennedy;K453141781;FEMALE;2013-10-30;0961855107;system;False
125;Christie Solis;L491041922;MALE;1906-05-19;0999831794;system;True
126;Dr. Kellie Brown;P696728872;FEMALE;1990-02-25;0966281085;system;False
127;Diane Wells;H640510580;FEMALE;1909-02-13;0901157984;system;False
128;Samantha Mcbride;C100210366;OTHER;1923-04-22;0927561010;system;True
129;Desiree Lynch;F806879888;OTHER;1989-02-16;0993722366;system;True
130;James Lopez;W108794054;MALE;1962-06-03;0936176265;system;False
131;David Perkins;Y647518544;MALE;1961-06-27;0994802752;system;False
132;Christopher Lopez;H749106960;MALE;1930-05-28;0982963569;system;True
133;Darin Sanchez;Y109080637;OTHER;1918-07-27;0901057594;system;False
134;Ashley Nguyen;S325521595;OTHER;1945-05-25;0938816076;system;False
135;Kathryn Giles;J191103521;FEMALE;1984-01-17;0910513364;system;True
136;Courtney Thomas;N647310103;OTHER;1962-02-11;0910510659;system;True
137;Jesus Le;R583436446;OTHER;1964-03-01;0980747485;system;False
138;Jennifer Morris;L740525701;FEMALE;1961-07-01;0966053839;system;False
139;Scott Bradley;N678491910;OTHER;1998-12-12;0986193648;system;True
140;Bryan Patterson;I715928626;MALE;1975-10-15;0961142486;system;True
141;Ryan Morgan;M949617935;FEMALE;1975-07-29;0951006023;system;False
142;Brianna Brooks;H138435073;MALE;1945-08-05;0956547106;system;False
143;Emily Grimes;P538105210;OTHER;1930-05-17;0982227305;system;False
144;Joshua Olson;H318976705;OTHER;1903-07-04;0956799794;system;False
145;Travis Smith;W721753135;FEMALE;1971-07-02;0951728916;system;True
146;Joshua James;M981044410;OTHER;1994-12-16;0998099232;system;False
147;Mary Henry;R077647136;OTHER;1942-01-10;0929600672;system;False
148;Antonio Reid;P485601094;FEMALE;2013-07-30;0981983117;system;True
149;Alex Wagner;O406760751;OTHER;2001-03-28;0942319950;system;False
150;Daniel Thompson;I589341654;FEMALE;1952-02-06;0921035910;system;False
151;James Murray;P766394010;FEMALE;1911-04-08;0995195680;system;False
152;Jocelyn Maxwell;K075792820;FEMALE;1910-04-23;0955927464;system;False
153;Jason Nguyen;H434381403;MALE;1949-08-10;0947746510;system;True
154;Philip Gamble;U379837910;FEMALE;1946-01-15;0938005628;system;True
155;Teresa Roberts;J732810917;FEMALE;1990-03-04;0908173791;system;False
156;Justin Bowen;R609305185;OTHER;2013-10-28;0947236739;system;False
157;Deanna Richards;S921095210;MALE;1904-07-02;0996294700;system;False
158;Derek Ford;M801893097;MALE;2015-07-18;0943259026;system;True
159;Denise Holloway;Q428109610;FEMALE;1911-03-17;0972616180;system;False
160;Kristin Pineda;N956699107;OTHER;1979-01-15;0918910310;system;False
161;Rachel Hayes;Z455071882;OTHER;1948-09-07;0959397419;system;False
162;Terry Mitchell;B109655261;OTHER;1967-11-22;0901002107;system;True
163;James Cooper;K359504815;FEMALE;1917-06-07;0993858189;system;True
164;Pamela Fox;O110462701;FEMALE;1964-07-22;0952448104;system;True
165;Robert Lee;F942661519;OTHER;1950-02-10;0923842104;system;True
166;Nicholas Hill;P101033410;OTHER;1983-10-09;0997420468;system;False
167;Larry Carter;Z234394327;FEMALE;1949-09-20;0990107235;system;True
168;Matthew Taylor;I371241037;MALE;1984-12-23;0910946462;system;False
169;Brian Barr;A264931002;MALE;2013-10-10;0910711001;system;True
170;Kyle Stevens;P643635607;FEMALE;1967-11-07;0916663850;system;True
171;Amber Anderson;Q037849657;OTHER;1983-11-26;0957212354;system;False
172;Kimberly Brown;X303888510;FEMALE;1966-02-25;0954385029;system;False
173;John Edwards;V652541836;OTHER;1978-09-25;0979051092;system;False
174;Rebekah Nguyen;P314731048;OTHER;1959-03-29;0910856454;system;False
175;Meghan Ward;V672710101;FEMALE;1993-10-06;0926107714;system;True
176;Gwendolyn Decker;F001069427;FEMALE;1995-07-06;0970884221;system;False
177;Craig Hudson;J118019437;MALE;1917-09-26;0971917690;system;False
178;Diane Miller;F410100120;OTHER;1928-01-25;0902939051;system;True
179;Andrea Carpenter;I599401195;MALE;1988-08-14;0983559810;system;False
180;Anthony Stevenson;G991088644;FEMALE;2013-03-18;0977710861;system;False
181;Ryan Rodgers;Q311411866;MALE;1938-07-03;0928571040;system;False
182;Christopher Terry;B771055792;MALE;1996-10-02;0983310558;system;True
183;Troy Campbell;T855998834;FEMALE;1987-03-05;0957576480;system;False
184;Wendy Miller;B241093067;MALE;1908-03-03;0900407304;system;False
185;Nathan Sloan;N103580752;MALE;1976-05-18;0997223846;system;True
186;Christopher Mcdonald;B107739109;MALE;1951-01-25;0914985395;system;False
187;Christopher Johnston;D106358650;FEMALE;1909-09-01;0965125090;system;True
188;Matthew Robertson;P010461031;OTHER;2012-11-18;0910142128;system;False
189;Brett Parker;V108033023;OTHER;1904-09-20;0927894866;system;False
190;Matthew Love;K864765296;OTHER;1933-08-24;0969933764;system;True
191;Kelly Ramos;E481039002;FEMALE;2015-07-16;0995110611;system;True
192;Danielle Lynn;C168140072;OTHER;1954-02-22;0904084918;system;False
193;Thomas Rivera;Z949109689;MALE;1990-09-19;0945410633;system;True
194;Michael Weber;Z912697901;FEMALE;2004-12-28;0963816410;system;True
195;Aaron Mendez;H709535827;FEMALE;1917-05-13;0905623261;system;True
196;Darrell Zhang;Y510101561;FEMALE;1943-11-23;0917607502;system;False
197;Timothy Martinez;U107108555;OTHER;1906-10-30;0996548057;system;True
198;Randall Vega;E314693736;OTHER;1958-01-05;0942210059;system;True
199;Patricia Cruz MD;G100659079;MALE;1915-03-07;0924201914;system;False
200;Daniel Johnson;K051029490;MALE;1927-10-21;0912821091;system;True
201;Joel Carroll;J382919805;FEMALE;1970-11-04;0992571934;system;True
202;Brian Owens;P401447941;FEMALE;1943-12-02;0957670846;system;True
203;Molly Howard MD;J109011346;OTHER;1936-10-13;0968294044;system;True
204;Melissa Gregory;O343152890;OTHER;1979-06-24;0958431281;system;False
205;Cynthia Adkins;S051443795;FEMALE;1988-04-12;0934410706;system;False
206;Rachel Solis;X009437010;OTHER;1955-05-23;0972109656;system;False
207;Amy Giles;W839217050;OTHER;1978-05-13;0991030310;system;True
208;Tamara Brooks;W389800542;FEMALE;1976-12-12;0958352777;system;True
209;Angela Oliver;X878011410;OTHER;1989-09-21;0910949332;system;False
210;James Riddle;Y730060927;OTHER;1949-06-09;0929854180;system;False
211;Kristen Keller;L263217262;FEMALE;1903-11-04;0989408920;system;False
212;John Rivera;N653103658;FEMALE;1963-02-08;0910086404;system;True
213;Chad Bradley;V328828747;FEMALE;2014-05-11;0913710457;system;True
214;Stephanie Williams;B341363824;OTHER;1992-09-24;0926094636;system;False
215;Jennifer Mullins;R545273583;MALE;1909-01-04;0991022481;system;True
216;Frances Lopez;U010073858;MALE;1962-05-19;0933930703;system;False
217;Christian Wheeler;E131363810;OTHER;1994-12-11;0993095229;system;True
218;Ian Armstrong;F491014101;MALE;1907-09-05;0941099834;system;False
219;Jennifer Collins;Q110321809;FEMALE;1984-09-12;0986621742;system;True
220;Nicholas Glass;X106609320;FEMALE;1947-02-16;0995774047;system;True
221;Michelle King;O429138342;FEMALE;1934-08-04;0981098934;system;False
222;Sarah Payne;Q336411261;FEMALE;1935-04-16;0901239510;system;False
223;Sara Alvarado;B381796101;OTHER;1939-10-17;0931010553;system;False
224;Shawn Grimes;E201041067;OTHER;1923-08-06;0918508751;system;False
225;Brian Carpenter;T109247410;FEMALE;1971-03-09;0910195231;system;False
226;Alejandro Campbell;J101050163;MALE;1976-09-13;0958292820;system;False
227;Justin Mccann;E651215841;MALE;1952-08-13;0912383407;system;True
228;Elizabeth Myers;H564572097;FEMALE;1954-01-15;0933910544;system;True
229;Andrew David;C234700160;OTHER;1999-11-16;0911061010;system;True
230;Tanya Hurst;C792868810;MALE;1932-07-01;0972720310;system;False
231;Dan Little;R103718016;FEMALE;1904-06-20;0913810500;system;False
232;Karen Barrera;J100457483;MALE;1932-03-10;0922862106;system;False
233;Matthew Everett;H664104109;MALE;1990-06-10;0948410470;system;True
234;Samuel Webb;R787450393;OTHER;1984-08-15;0910155144;system;True
235;Kyle Gardner;U413903717;FEMALE;1903-05-17;0990796107;system;False
236;Briana Myers;S640716241;FEMALE;1909-01-18;0987910210;system;False
237;Taylor Baker;L559510875;OTHER;2000-09-16;0904733342;system;True
238;Kathryn Stout;R003963090;FEMALE;1960-03-28;0976966562;system;True
239;Scott Peters;P188510802;FEMALE;1983-10-09;0936431013;system;False
240;Renee Spencer;I165671947;FEMALE;1964-01-09;0977896169;system;True
241;Thomas Sandoval Jr.;L341079410;OTHER;2018-03-01;0926559109;system;False
242;Eric Smith;Z110571011;MALE;1939-06-06;0994211012;system;True
243;Abigail Chavez;Z890786499;FEMALE;1911-08-11;0950012492;system;False
244;Bryan Escobar;I498108947;OTHER;1967-10-02;0938331030;system;True
245;Jeffrey Murphy;E795931030;FEMALE;1926-03-02;0914601279;system;False
246;Sean Wade;U270625246;MALE;1983-10-10;0986102435;system;False
247;Julia Moore MD;G920710626;OTHER;1944-08-03;0902408252;system;False
248;Whitney Levine;P236335075;MALE;1981-08-22;0983857653;system;False
249;Richard Long;V894255796;OTHER;1982-01-09;0932645551;system;False
250;Veronica Scott;P310752829;MALE;2016-03-27;0948102054;system;True
251;Daniel Bradford;E388819159;MALE;1923-03-31;0929167691;system;True
252;James Klein;R312609610;FEMALE;1943-04-24;0939110310;system;True
253;Hannah Snyder;U011081000;MALE;1905-12-02;0920918179;system;False
254;Joseph Mclaughlin;S999281020;FEMALE;1977-11-12;0921069334;system;False
255;Jeffrey Shaw;A108929105;OTHER;1961-12-01;0930131065;system;False
256;Lisa Harrell;Y878026812;MALE;2015-08-16;0971022571;system;True
257;Eric Bennett;D151091102;OTHER;2002-07-28;0932662924;system;False
258;Gina Bautista;J479199424;MALE;1987-04-26;0964266279;system;True
259;Amy Oconnell;T094872467;MALE;1910-10-28;0981248010;system;True
260;Mike Daniels;D854466342;MALE;1944-02-17;0921057833;system;True
261;Carlos Chambers;N650198710;OTHER;1959-09-15;0957010448;system;True
262;Nathaniel Reyes;Z645710710;FEMALE;1997-11-05;0906100865;system;True
263;Linda Clayton;B549940279;OTHER;1980-06-06;0989934103;system;True
264;Ellen Dawson;B028064972;FEMALE;1920-11-25;0966170541;system;False
265;Craig Krueger;U669121583;MALE;1951-10-26;0985013467;system;False
266;Tracy Bennett;G104968332;OTHER;1980-09-24;0910344451;system;True
267;John Kelly;Y901577877;MALE;1998-09-21;0954983552;system;True
268;Joseph Turner;S921010209;MALE;1959-11-13;0903143541;system;False
269;Neil Smith;H109100467;MALE;1928-06-22;0937441010;system;True
270;Michael Jackson;G165488269;OTHER;1960-04-15;0978630780;system;True
271;Tina Blake;T658865712;MALE;1906-01-20;0931917296;system;False
272;John Williams;A100410113;FEMALE;1921-05-08;0972036010;system;False
273;Catherine Gibson;R543004105;FEMALE;1913-12-28;0967916181;system;False
274;Kyle Weaver;Y966413495;OTHER;1921-10-01;0916100032;system;True
275;Denise Mcmillan;L109746087;OTHER;2014-12-27;0943850103;system;True
276;Scott Stephens;B778618367;OTHER;2004-04-21;0988168810;system;True
277;Kimberly Beltran;E604727243;OTHER;1930-04-28;0931161053;system;True
278;Lindsay Smith;R863707988;FEMALE;1964-07-27;0910372601;system;True
279;Robin Williams;Z450124579;OTHER;1922-06-21;0900546500;system;False
280;Christina Hernandez;D274730409;MALE;1939-01-28;0903537187;system;False
281;Christopher Ellis;Y846886011;MALE;1920-08-24;0916019441;system;True
282;April Davis;M044122102;MALE;1986-04-19;0901091036;system;True
283;Emily Ward;H947088180;OTHER;1903-08-01;0967068108;system;True
284;Stephen Welch;L322130379;OTHER;1963-09-10;0958641018;system;True
285;Gary Woods;T106876191;FEMALE;1903-02-25;0941009486;system;True
286;Loretta Wilson;E514961017;OTHER;1986-10-17;0991003823;system;False
287;Brandon Wallace;F274081573;MALE;1983-09-17;0910384301;system;False
288;Nichole Reyes;T938676672;FEMALE;1927-01-29;0972434408;system;True
289;Edward Schneider;D708216019;MALE;2014-10-29;0982160931;system;False
290;Nicole Thomas;K601091006;FEMALE;1910-08-18;0993965329;system;True
291;John Murillo;K871081465;MALE;1993-06-21;0991886603;system;False
292;Karina Chang;G961268383;OTHER;1932-01-02;0914804100;system;False
293;Christine Smith;R270248946;OTHER;1934-09-08;0961029315;system;False
294;Jesse Underwood;M082150091;MALE;1925-03-01;0922596398;system;False
295;Jason Tyler;O010674010;MALE;1910-11-18;0996443243;system;True
296;James Torres;Q309155605;FEMALE;2007-05-05;0919562393;system;True
297;Eddie Floyd;T100537781;OTHER;1952-03-15;0940111091;system;False
298;Emily Gamble;M522490781;MALE;1912-04-14;0910425423;system;False
299;Mark Ford;C310633068;OTHER;1944-11-13;0907865569;system;True
300;William Ramirez;L101010475;FEMALE;1960-10-07;0968836892;system;False
301;Cody Foster;V932114348;FEMALE;1987-01-03;0920171201;system;False
302;Tina Weeks;K581511003;OTHER;1935-08-08;0981410290;system;False
303;Phillip Taylor;T607653105;FEMALE;1957-02-05;0949568106;system;True
304;Joshua Harrison;Y072181020;FEMALE;1946-03-29;0901095247;system;False
305;Neil Martinez;Q132108079;OTHER;1996-03-18;0995580105;system;False
306;Douglas Jones;V728079116;FEMALE;1971-03-11;0982269750;system;False
307;Brian Moore;M867613054;OTHER;1945-08-22;0900431511;system;False
308;Melissa Jenkins;V459973073;OTHER;2012-02-08;0925340057;system;True
309;Troy Pollard;L727805734;FEMALE;1984-02-25;0983336919;system;True
310;William Wagner;T373388332;MALE;1938-10-03;0975102586;system;False
311;Timothy Norton;Z909287615;FEMALE;2008-02-18;0972671720;system;False
312;Daniel Johnson;R181036100;OTHER;1911-07-27;0904448952;system;False
313;Shannon Hopkins;R105104103;MALE;1907-04-22;0988764169;system;True
314;Denise Rogers;O710112810;FEMALE;1996-01-20;0983991991;system;False
315;Donna Robertson;E110102975;OTHER;1998-03-19;0917800082;system;False
316;Mike West;P164710103;FEMALE;2002-10-07;0957220572;system;False
317;Jeff Everett;D170553108;MALE;1995-02-07;0953106805;system;True
318;Alyssa Roberts;X135261078;OTHER;1905-02-11;0904910994;system;False
319;Kaitlyn Cruz;K929888473;FEMALE;1996-04-25;0900942283;system;False
320;Corey Anderson;Y080739455;MALE;2006-09-04;0946019326;system;False
321;Samuel Holt;Z881299033;OTHER;1979-12-27;0910419563;system;False
322;Michael Stewart;Z051584310;MALE;1964-05-22;0940943007;system;True
323;Dr. Jonathon Mason;X696473821;FEMALE;1967-01-07;0939452510;system;True
324;Jessica Smith;W010910966;MALE;1924-01-12;0983682603;system;False
325;Brianna Parrish;F823100989;FEMALE;1940-09-03;0953810618;system;True
326;Lisa Harrison;Q592148121;MALE;1997-08-27;0910107143;system;True
327;Kristin Hamilton;W735534945;FEMALE;1954-03-10;0971010282;system;True
328;Arthur Burnett;X941081928;FEMALE;1955-11-20;0902510710;system;True
329;Rhonda Wright;C531012762;OTHER;1906-03-10;0983540242;system;False
330;Teresa Lopez;O058509926;MALE;1996-02-12;0968094105;system;False
331;Susan Hall;G171016133;OTHER;2014-09-18;0908107106;system;True
332;Andrea Arnold;V110528134;OTHER;1991-07-21;0956365113;system;True
333;Yolanda Armstrong;P702250010;FEMALE;1923-05-12;0985810107;system;False
334;Michael Taylor;Z303788517;OTHER;1996-10-01;0987011091;system;False
335;Judith Robinson;T904704173;MALE;1972-07-13;0942312463;system;True
336;Keith Austin;W980453386;MALE;2005-03-02;0991381011;system;False
337;Kellie Allen;F129548248;FEMALE;1982-03-24;0925806101;system;True
338;William Lang;Q027459081;OTHER;1975-04-01;0956109421;system;False
339;Jessica Green;M493815162;FEMALE;1973-10-09;0981014000;system;True
340;Carolyn Buchanan;K101046218;MALE;2003-01-02;0929949033;system;True
341;Elizabeth Ross;Y067106411;FEMALE;1926-05-04;0957674369;system;True
342;Tyler Larson;H991897642;MALE;2017-01-20;0994174810;system;False
343;Jared Kemp;B435810201;OTHER;1914-06-26;0921010312;system;False
344;Jordan Chavez;S998774838;MALE;2018-07-04;0909336110;system;False
345;Christina Hawkins;A965315105;MALE;2000-08-31;0969401010;system;True
346;Melissa Briggs;U678428783;FEMALE;1934-11-03;0985428510;system;False
347;Mr. Christopher Irwin;R413817491;OTHER;1992-07-17;0908263109;system;False
348;Shannon Baxter;V543532596;MALE;1979-02-15;0936531039;system;True
349;Jessica Hart;M871910816;FEMALE;1979-02-11;0996358973;system;False
350;Julie Henderson;K522981583;OTHER;1909-06-02;0906410310;system;True
351;Natalie Crawford;E521632081;MALE;2006-05-04;0992571075;system;False
352;Andrea Oliver;P627701077;MALE;1951-10-14;0969342127;system;False
353;Gina Gallagher;U621043824;OTHER;1936-09-27;0944109103;system;True
354;Amy Cruz;X281050933;OTHER;1971-08-31;0931080031;system;False
355;Brian Mccarthy;J972185564;OTHER;1973-10-06;0973757109;system;False
356;Tanya Melton;Z681081069;OTHER;1929-09-11;0950891055;system;True
357;Andrew Brown;I193397583;OTHER;1980-10-22;0911051310;system;True
358;Jamie Henson DVM;M681031788;FEMALE;1962-09-07;0935912210;system;False
359;Charles Munoz;P125665857;OTHER;1965-04-10;0999398341;system;False
360;Robert Nelson;B249741156;MALE;1998-01-27;0999846381;system;False
361;David Blankenship;H102451210;MALE;1972-07-17;0913166701;system;False
362;Emily Stewart;C481075106;FEMALE;1989-03-02;0991063425;system;False
363;Michele Davidson;F681089107;MALE;1994-03-22;0921055542;system;False
364;Curtis Wagner;X850222051;FEMALE;1986-07-25;0935283868;system;False
365;Christopher Parker;N789848978;FEMALE;2017-02-25;0972210257;system;False
366;Jeffrey Jimenez;S108880351;OTHER;2003-01-04;0919751952;system;False
367;Karen Smith;P102731457;FEMALE;1914-02-13;0967315053;system;True
368;Jason Monroe;X413771040;OTHER;2013-09-22;0974034571;system;True
369;Kyle Larson;V285551101;OTHER;1948-04-29;0983510921;system;False
370;Marcus Conway;M021081051;MALE;1922-11-12;0900280143;system;True
371;Isabel Stephenson;K794107929;OTHER;1958-02-28;0974810784;system;False
372;Brittany Norris MD;S074038620;MALE;1961-07-15;0951067868;system;False
373;Brittany Duke;W547006665;FEMALE;1974-10-19;0983607890;system;False
374;Sarah Taylor;P960584063;MALE;1923-02-18;0966935620;system;True
375;Victoria Thomas;A476925101;FEMALE;1925-06-23;0928240647;system;True
376;Todd Hammond;P827383456;MALE;1990-12-09;0970813103;system;True
377;Frank Kennedy;A591447770;OTHER;1950-04-22;0980110951;system;False
378;Matthew Perry;M537105299;MALE;1967-07-06;0963109319;system;False
379;Catherine Cochran;Q861527751;OTHER;2011-12-20;0957015361;system;True
380;Ruth Jimenez;X410802209;OTHER;1926-12-15;0916057428;system;False
381;James Castillo;T091878181;MALE;1956-07-06;0929856310;system;True
